Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Inquery/Log SMS/Button Cari""))",Chrome 136.0.0.0,,,16-05-2025 10:57:00,16-05-2025 10:57:00,0.600s,PASSED
"verifyElementPresent(findTestObject(""Inquery/Log SMS/Verikasi Hasil Pencarian""), 0)",Chrome 136.0.0.0,,,16-05-2025 10:57:00,16-05-2025 10:57:01,0.963s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:01,16-05-2025 10:57:03,2.009s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:03,16-05-2025 10:57:03,0.366s,PASSED
"scrollToElement(findTestObject(""Inquery/Button Export Excel""), 0)",Chrome 136.0.0.0,,,16-05-2025 10:57:03,16-05-2025 10:57:04,0.688s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""))",Chrome 136.0.0.0,,,16-05-2025 10:57:04,16-05-2025 10:57:04,0.295s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:04,16-05-2025 10:57:06,2.015s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:06,16-05-2025 10:57:07,1.028s,PASSED
,,,,,,,
Test Cases/Inquery/Perubahan Data/Cari Perubahan Data,Chrome 136.0.0.0,,,16-05-2025 10:57:07,16-05-2025 10:57:34,26.037s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""))",Chrome 136.0.0.0,,,16-05-2025 10:57:08,16-05-2025 10:57:09,0.972s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Perubahan Data""))",Chrome 136.0.0.0,,,16-05-2025 10:57:09,16-05-2025 10:57:11,2.162s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:11,16-05-2025 10:57:13,2.008s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:13,16-05-2025 10:57:15,1.850s,PASSED
"setText(findTestObject(""Inquery/Perubahan Data/Input Periode awal""), ""27-03-2025"")",Chrome 136.0.0.0,,,16-05-2025 10:57:15,16-05-2025 10:57:16,1.339s,PASSED
"setText(findTestObject(""Inquery/Perubahan Data/Input Periode Akhir""), ""27-03-2025"")",Chrome 136.0.0.0,,,16-05-2025 10:57:16,16-05-2025 10:57:16,0.577s,PASSED
"setText(findTestObject(""Inquery/Perubahan Data/Input No ref""), ""DAT000003778"")",Chrome 136.0.0.0,,,16-05-2025 10:57:16,16-05-2025 10:57:17,0.811s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:17,16-05-2025 10:57:19,2.008s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:19,16-05-2025 10:57:20,0.667s,PASSED
"click(findTestObject(""Inquery/Perubahan Data/Button Search""))",Chrome 136.0.0.0,,,16-05-2025 10:57:20,16-05-2025 10:57:21,0.753s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:21,16-05-2025 10:57:23,2.010s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:23,16-05-2025 10:57:23,0.670s,PASSED
"click(findTestObject(""Inquery/Perubahan Data/Button No Reff""))",Chrome 136.0.0.0,,,16-05-2025 10:57:23,16-05-2025 10:57:24,0.656s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:24,16-05-2025 10:57:26,2.009s,PASSED
"click(findTestObject(""Inquery/Perubahan Data/Button back Detail Perubahan Data""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:57:26,16-05-2025 10:57:27,1.397s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:27,16-05-2025 10:57:29,2.008s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""), STOP_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:57:29,16-05-2025 10:57:30,0.334s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:30,16-05-2025 10:57:32,2.018s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:32,16-05-2025 10:57:34,1.741s,PASSED
,,,,,,,
Test Cases/Inquery/Transaksi Nasabah/Cari Transaksi Nasabah,Chrome 136.0.0.0,,,16-05-2025 10:57:34,16-05-2025 10:57:50,16.138s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:57:34,16-05-2025 10:57:34,0.322s,PASSED
"enhancedClick(findTestObject(""Inquery/Button Transaksi Nasabah""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:57:34,16-05-2025 10:57:35,0.899s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:35,16-05-2025 10:57:37,2.015s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:37,16-05-2025 10:57:38,0.604s,PASSED
"setText(findTestObject(""Inquery/Transaksi Nasabah/Input Periode Awal""), ""27-03-2025"")",Chrome 136.0.0.0,,,16-05-2025 10:57:38,16-05-2025 10:57:38,0.881s,PASSED
"setText(findTestObject(""Inquery/Transaksi Nasabah/Input Periode Akhir""), ""27-03-2025"")",Chrome 136.0.0.0,,,16-05-2025 10:57:38,16-05-2025 10:57:39,0.997s,PASSED
"setText(findTestObject(""Inquery/Transaksi Nasabah/Input No Rekening""), ""085871740847"")",Chrome 136.0.0.0,,,16-05-2025 10:57:39,16-05-2025 10:57:40,0.577s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:40,16-05-2025 10:57:42,2.006s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:42,16-05-2025 10:57:42,0.449s,PASSED
"click(findTestObject(""Inquery/Transaksi Nasabah/Button Cari""))",Chrome 136.0.0.0,,,16-05-2025 10:57:42,16-05-2025 10:57:43,0.689s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:43,16-05-2025 10:57:45,2.003s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:45,16-05-2025 10:57:46,0.566s,PASSED
"scrollToElement(findTestObject(""Inquery/Button Export Excel""), 0)",Chrome 136.0.0.0,,,16-05-2025 10:57:46,16-05-2025 10:57:46,0.260s,PASSED
"click(findTestObject(""Inquery/Button Export Excel""))",Chrome 136.0.0.0,,,16-05-2025 10:57:46,16-05-2025 10:57:47,0.923s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:57:47,16-05-2025 10:57:49,2.017s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:57:49,16-05-2025 10:57:50,0.785s,PASSED
